UID,Name,Age,Position(s),Foot,Height (CM),Weight (KG),International Caps,International Goals,Club,Sell value (€),Wages (€),Contract expiration (year),Aerial Reach,Command of Area,Communication,Eccentricity,First Touch,Handling,Kicking,One on Ones,Passing,Punching (Tendency),Reflexes,Rushing Out (Tendency),Throwing,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off the Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Free Kick Taking,Penalty Taking,Technique,Rel. clause (€),CA,PA
83169226,Diogo Costa,22,GK,Right,186.0,80.0,5.0,0.0,FC Porto,171393230.0,35350.0,5.0,13.0,14.0,16.0,7.0,11,14.0,18.0,15.0,14,8.0,16.0,13.0,12.0,14,13,14,16,14,14,14,11,10,3,14,14,14,13,11,15,12,13,14,11,11,13,1,3,13,75005340.0,78.0,87.0
8428653,Hugo Lloris,35,GK,Left,188.0,82.0,139.0,0.0,Tottenham Hotspur,,139200.0,2.0,11.0,12.0,7.0,12.0,8,16.0,11.0,15.0,8,13.0,16.0,13.0,11.0,15,16,17,7,15,13,15,6,15,6,15,15,9,14,11,15,11,13,15,10,14,13,9,1,10,,71.0,85.0
67200923,Unai Simón,25,GK,Right,190.0,89.0,25.0,0.0,Athletic Bilbao,118610230.0,48960.0,3.0,16.0,15.0,15.0,13.0,13,14.0,13.0,15.0,12,9.0,16.0,13.0,15.0,13,13,12,15,13,14,15,2,12,3,15,13,14,12,13,14,7,15,11,13,12,12,9,5,13,1000000000.0,77.0,84.0
5251774,Claudio Bravo,39,GK,Right,184.0,84.0,143.0,0.0,Real Betis,930680.0,27260.0,1.0,12.0,14.0,13.0,10.0,13,16.0,16.0,12.0,15,10.0,12.0,11.0,14.0,12,13,15,13,14,13,14,10,16,4,13,16,15,7,11,12,11,11,15,13,13,12,7,8,14,18099730.0,72.0,84.0
8826969,Keylor Navas,35,GK,Right,185.0,80.0,107.0,0.0,Nottingham Forest,30136230.0,230150.0,2.0,10.0,15.0,13.0,4.0,10,12.0,14.0,16.0,10,16.0,17.0,12.0,15.0,11,15,15,13,17,15,16,8,12,1,14,15,8,15,12,17,14,12,17,13,14,13,1,1,8,,79.0,84.0
71101334,Anatolii Trubin,20,GK,Right,199.0,86.0,2.0,0.0,Shakhtar,49213430.0,14120.0,2.0,18.0,11.0,12.0,3.0,10,14.0,10.0,10.0,12,9.0,14.0,6.0,7.0,7,13,14,13,11,12,12,5,7,9,15,11,10,13,11,12,11,17,14,12,12,13,2,11,8,,67.0,84.0
85121966,Édouard Mendy,30,GK,Right,194.0,94.0,25.0,0.0,Chelsea,,58000.0,3.0,18.0,15.0,13.0,14.0,10,15.0,13.0,14.0,14,8.0,15.0,12.0,12.0,10,14,12,13,16,15,12,8,10,1,16,13,8,10,12,14,14,17,15,11,14,15,7,2,11,,80.0,84.0
67277675,Joan García,21,GK,Right,181.0,79.0,,,Espanyol,13220870.0,3460.0,3.0,9.0,11.0,11.0,5.0,6,15.0,14.0,14.0,12,6.0,15.0,10.0,8.0,10,10,16,11,13,13,14,1,11,3,12,11,10,10,11,9,11,11,13,9,8,8,6,4,8,17167780.0,60.0,78.0
85094520,Mike Maignan,27,GK,Right,191.0,89.0,4.0,0.0,AC Milan,,69040.0,4.0,13.0,15.0,15.0,13.0,11,15.0,16.0,14.0,13,9.0,17.0,7.0,14.0,8,15,14,15,16,14,15,6,15,1,15,15,13,12,8,16,14,15,17,11,14,15,1,9,12,,80.0,83.0
89065344,Carl Rushworth,21,GK,Left,188.0,75.0,,,Lincoln,19757150.0,3480.0,3.0,13.0,12.0,9.0,9.0,7,13.0,11.0,14.0,12,10.0,14.0,11.0,15.0,12,12,12,9,9,11,7,3,11,1,12,11,8,10,8,12,11,14,8,9,15,12,5,3,9,,55.0,74.0
5119142,Joe Hart,35,GK,Right,196.0,81.0,75.0,0.0,Celtic,,17400.0,1.9,14.0,14.0,10.0,13.0,8,14.0,11.0,13.0,11,13.0,15.0,10.0,13.0,14,11,13,10,12,10,14,4,15,2,12,14,8,15,12,12,13,17,13,8,14,13,1,13,5,,62.0,82.0
92012109,Bernd Leno,30,GK,Right,190.0,83.0,9.0,0.0,Fulham,33882110.0,98600.0,3.0,14.0,14.0,12.0,13.0,10,15.0,15.0,17.0,10,12.0,16.0,16.0,12.0,8,14,14,11,14,10,12,4,9,6,13,16,7,12,13,16,14,14,14,10,12,12,4,3,9,,72.0,82.0
29137172,Aaron Ramsdale,24,GK,Right,191.0,85.0,3.0,0.0,Arsenal,,92800.0,3.0,14.0,15.0,14.0,10.0,12,15.0,16.0,16.0,13,10.0,16.0,11.0,16.0,12,13,15,14,13,14,17,10,13,9,13,15,15,10,8,16,10,14,11,7,12,14,5,2,12,,76.0,81.0
49040115,Illan Meslier,22,GK,Left,196.0,74.0,,,Leeds United,65777720.0,46400.0,4.0,17.0,13.0,13.0,10.0,10,13.0,12.0,17.0,10,10.0,16.0,15.0,13.0,12,16,15,13,14,13,12,6,8,4,14,12,10,12,9,16,12,17,15,9,13,8,6,2,12,,71.0,81.0
2100185,Diego Alves,37,GK,Left,190.0,90.0,10.0,0.0,Celta de Vigo,216130.0,10290.0,1.0,12.0,13.0,15.0,7.0,13,13.0,11.0,15.0,10,13.0,15.0,11.0,13.0,12,13,15,15,12,12,15,6,16,3,13,11,8,12,10,15,10,15,8,10,11,12,6,3,13,2446820.0,65.0,81.0
28044979,Jack Butland,29,GK,Right,196.0,85.0,9.0,0.0,Manchester United,1843130.0,46400.0,1.0,15.0,12.0,14.0,11.0,6,15.0,11.0,16.0,9,8.0,16.0,11.0,12.0,10,12,14,14,12,7,10,3,10,2,13,12,5,12,12,16,12,18,12,10,14,13,2,5,10,,62.0,81.0
43298002,Marco Carnesecchi,22,GK,Right,191.0,80.0,,,Cremonese,18214240.0,3560.0,4.0,14.0,16.0,10.0,10.0,8,15.0,9.0,12.0,8,13.0,14.0,14.0,10.0,9,13,10,10,15,12,15,7,13,7,15,13,8,15,10,14,13,15,15,10,15,13,4,2,8,,65.0,80.0
1508841,Kiko Casilla,35,GK,Right,190.0,86.0,1.0,0.0,Getafe,349170.0,46400.0,1.0,13.0,7.0,15.0,13.0,11,14.0,16.0,14.0,13,16.0,15.0,18.0,13.0,13,13,16,15,13,8,15,11,6,8,13,13,12,13,11,14,13,13,13,14,14,15,7,2,10,6061010.0,62.0,80.0
29125334,Dean Henderson,25,GK,Right,188.0,85.0,1.0,0.0,Nottingham Forest,15177040.0,139200.0,3.0,13.0,14.0,11.0,13.0,11,13.0,12.0,15.0,12,14.0,15.0,10.0,12.0,15,14,14,11,11,13,14,13,12,13,12,13,8,9,13,15,12,14,15,11,12,12,5,3,10,,69.0,80.0
29156212,Robert Sánchez,24,GK,Right,197.0,91.0,1.0,0.0,Brighton & Hove Al..,28829150.0,29000.0,3.0,17.0,17.0,14.0,11.0,11,14.0,15.0,15.0,13,10.0,15.0,14.0,14.0,8,11,15,13,10,10,10,9,7,3,12,12,12,9,12,13,12,18,12,10,12,14,5,3,13,,70.0,80.0
67157624,Kepa Arrizabalaga,27,GK,Right,186.0,88.0,11.0,0.0,Chelsea,11363720.0,170010.0,3.0,14.0,13.0,14.0,5.0,11,16.0,15.0,15.0,11,13.0,16.0,15.0,13.0,8,14,12,14,15,12,13,3,10,5,12,13,11,12,9,15,12,14,12,12,12,11,6,6,11,,72.0,80.0
78001113,Fernando Muslera,36,GK,Right,190.0,84.0,133.0,0.0,Galatasaray,,60100.0,2.0,12.0,10.0,12.0,7.0,11,16.0,11.0,15.0,12,4.0,14.0,14.0,14.0,10,16,13,12,10,11,17,8,17,7,17,14,10,12,11,15,12,15,16,10,11,12,5,7,10,,68.0,80.0
14030119,Gerónimo Rulli,30,GK,Right,189.0,84.0,3.0,0.0,Ajax,38306490.0,30000.0,4.0,13.0,14.0,12.0,10.0,12,13.0,15.0,18.0,12,14.0,18.0,14.0,13.0,8,13,15,12,13,11,11,3,11,3,13,14,10,11,12,15,7,14,15,11,13,12,9,4,13,,72.0,80.0
48036990,Alban Lafont,23,GK,Right,193.0,82.0,,,FC Nantes,24940270.0,19550.0,2.0,14.0,13.0,12.0,7.0,11,14.0,12.0,14.0,12,12.0,16.0,14.0,13.0,7,13,12,12,13,12,14,7,13,2,14,11,11,10,11,14,14,17,15,11,14,13,8,4,10,,70.0,80.0
49048357,Lucas Chevalier,20,GK,Right,189.0,84.0,,,Lille,34905410.0,11830.0,5.0,11.0,12.0,11.0,8.0,11,11.0,11.0,11.0,11,5.0,14.0,11.0,10.0,11,13,14,11,11,15,14,2,14,2,11,10,10,10,10,12,11,13,13,10,10,11,8,2,9,,61.0,81.0
67201634,André Onana,26,GK,Right,192.0,93.0,30.0,0.0,Internazionale,66045930.0,74040.0,5.0,15.0,14.0,14.0,15.0,10,15.0,14.0,15.0,14,5.0,16.0,16.0,15.0,9,13,14,14,12,13,15,15,11,3,15,12,8,12,12,15,15,16,16,12,13,13,6,3,12,,75.0,79.0
69000199,Yann Sommer,33,GK,Right,183.0,79.0,74.0,0.0,FC Bayern,26316980.0,95900.0,3.0,12.0,12.0,17.0,10.0,12,14.0,13.0,16.0,13,8.0,18.0,18.0,11.0,13,13,15,16,15,14,16,10,16,8,17,12,12,12,11,16,12,13,18,11,12,11,3,6,13,,78.0,79.0
92091333,Nico Mantl,22,GK,Right,193.0,88.0,,,Aalborg,5769300.0,4520.0,3.1,14.0,13.0,10.0,7.0,8,12.0,11.0,13.0,12,11.0,13.0,13.0,13.0,8,11,15,10,9,9,14,7,8,5,17,13,11,13,10,12,14,16,14,12,15,14,4,6,8,,60.0,74.0
6701938,Diego López,40,GK,Right,196.0,87.0,1.0,0.0,Rayo Vallecano,439460.0,14590.0,1.0,16.0,14.0,15.0,10.0,8,14.0,15.0,13.0,10,9.0,14.0,15.0,12.0,6,14,15,15,15,15,13,5,13,2,14,9,8,9,8,9,11,17,15,8,10,13,1,2,9,1772000.0,66.0,79.0
8053234,Igor Akinfeev,36,GK,Right,186.0,78.0,111.0,0.0,CSKA Moscow,,30000.0,2.0,8.0,10.0,16.0,3.0,10,13.0,15.0,14.0,11,17.0,14.0,8.0,14.0,11,16,10,16,15,15,18,10,17,2,16,5,10,9,10,12,12,10,13,9,10,13,8,18,10,,67.0,79.0
14048328,Juan Musso,28,GK,Right,191.0,93.0,2.0,0.0,Atalanta,15997140.0,56930.0,3.0,15.0,11.0,11.0,5.0,8,15.0,10.0,15.0,8,11.0,18.0,14.0,15.0,11,13,11,12,14,13,15,1,12,1,14,15,12,13,12,16,14,14,14,13,12,12,7,2,7,,72.0,79.0
55000929,Rui Patrício,34,GK,Left,190.0,84.0,104.0,0.0,AS Roma,,63620.0,2.0,16.0,9.0,14.0,6.0,9,16.0,11.0,17.0,11,12.0,16.0,5.0,14.0,12,13,12,14,15,13,18,11,14,11,15,13,5,14,11,13,16,16,16,10,12,14,2,4,8,,73.0,79.0
67006488,Sergio Asenjo,33,GK,Right,189.0,87.0,1.0,0.0,Real Valladolid,,14590.0,2.0,11.0,14.0,15.0,7.0,11,15.0,14.0,13.0,11,8.0,15.0,12.0,14.0,9,14,15,15,15,14,14,5,11,1,14,13,7,14,7,11,10,11,8,9,11,13,6,4,10,17720010.0,67.0,79.0
19030933,Neto,32,GK,Right,190.0,84.0,1.0,0.0,Bournemouth,27911050.0,116000.0,1.0,13.0,14.0,16.0,8.0,10,13.0,10.0,14.0,11,13.0,17.0,14.0,12.0,7,16,12,16,15,13,15,6,12,3,16,12,11,13,12,15,15,15,14,13,14,15,8,3,9,,74.0,78.0
43140326,Alex Meret,25,GK,Left,190.0,80.0,2.0,0.0,Napoli,33796910.0,53470.0,2.0,14.0,14.0,13.0,5.0,7,16.0,10.0,15.0,8,11.0,17.0,12.0,10.0,8,14,12,12,13,14,11,3,9,3,16,13,5,13,10,18,14,16,13,12,13,13,1,5,8,,74.0,78.0
67156610,Rubén Blanco,26,GK,Right,189.0,80.0,,,Marseille,4437450.0,14410.0,5.0,13.0,10.0,15.0,7.0,11,14.0,12.0,14.0,13,13.0,16.0,14.0,11.0,9,13,12,15,11,12,15,7,8,3,15,13,7,11,13,15,11,14,11,11,13,11,8,2,7,16201150.0,68.0,78.0
71099053,Andriy Lunin,23,GK,Right,191.0,80.0,7.0,0.0,Real Madrid,13467690.0,24320.0,2.0,15.0,14.0,13.0,12.0,12,13.0,12.0,15.0,12,14.0,16.0,12.0,11.0,5,13,12,13,12,13,15,1,8,3,13,13,11,14,12,15,12,15,14,11,14,12,7,4,10,250017800.0,70.0,78.0
829683,Federico Marchetti,39,GK,Left,188.0,82.0,11.0,0.0,Spezia,26940.0,14230.0,1.0,12.0,13.0,12.0,13.0,7,12.0,11.0,14.0,9,11.0,15.0,14.0,10.0,11,12,14,12,11,12,13,8,14,7,13,13,7,13,8,11,12,14,18,8,11,12,7,4,9,,58.0,78.0
961299,Sergio Romero,35,GK,Right,192.0,87.0,96.0,0.0,Boca Juniors,,14840.0,2.5,14.0,11.0,12.0,13.0,10,11.0,16.0,14.0,9,14.0,15.0,14.0,12.0,10,10,14,12,10,11,9,8,11,2,14,12,11,8,11,13,15,14,10,14,10,16,8,3,10,,63.0,78.0
1401013,Salvatore Sirigu,35,GK,Right,192.0,80.0,28.0,0.0,Fiorentina,1233280.0,25000.0,1.0,14.0,14.0,13.0,5.0,8,14.0,12.0,13.0,8,13.0,15.0,13.0,13.0,10,14,15,13,13,14,17,7,14,3,14,16,7,8,9,13,14,16,13,10,9,13,8,1,8,,68.0,78.0
7458290,Antonio Adán,35,GK,Left,190.0,88.0,,,Sporting CP,,34020.0,2.0,14.0,12.0,16.0,6.0,7,15.0,11.0,16.0,8,10.0,15.0,14.0,12.0,11,15,15,16,14,14,13,4,15,5,15,12,8,14,10,13,14,14,14,10,11,14,7,6,8,45003210.0,70.0,78.0
8835677,David Ospina,33,GK,Right,183.0,79.0,126.0,0.0,Al-Nassr (KSA),,49810.0,2.0,11.0,14.0,14.0,11.0,10,14.0,15.0,14.0,12,11.0,16.0,11.0,14.0,10,14,14,14,13,14,16,5,13,3,13,12,8,12,11,15,15,13,17,8,12,12,6,5,11,,71.0,78.0
14020367,Emiliano Martínez,29,GK,Right,193.0,85.0,17.0,0.0,Aston Villa,50028390.0,116000.0,5.0,15.0,14.0,12.0,10.0,11,16.0,14.0,15.0,12,8.0,18.0,14.0,11.0,7,15,15,12,14,14,14,8,13,11,13,12,7,13,10,16,13,15,13,10,12,12,1,2,11,,77.0,78.0
29083750,Nick Pope,30,GK,Right,196.0,78.0,8.0,0.0,Newcastle United,41267680.0,116000.0,4.0,17.0,17.0,9.0,2.0,7,16.0,8.0,17.0,10,12.0,16.0,14.0,12.0,8,15,13,9,14,12,14,4,8,2,15,15,6,15,8,14,12,18,10,9,10,13,1,2,7,,73.0,78.0
37002936,Jasper Cillessen,33,GK,Right,187.0,83.0,63.0,0.0,NEC,28333320.0,4000.0,3.0,16.0,14.0,15.0,11.0,10,16.0,13.0,15.0,10,10.0,14.0,12.0,13.0,12,14,14,15,13,12,16,8,10,3,13,13,9,14,11,13,13,16,12,11,10,11,7,6,8,,70.0,78.0
59138294,Giorgi Mamardashvili,21,GK,Left,199.0,75.0,3.0,0.0,Valencia,66421590.0,3070.0,5.0,15.0,16.0,11.0,12.0,10,13.0,15.0,12.0,14,10.0,16.0,13.0,12.0,9,12,14,11,13,10,14,3,12,1,12,13,12,12,10,12,13,15,11,11,13,14,8,3,11,28361390.0,69.0,78.0
67295644,Iker Álvarez,20,GK,Right,190.0,,7.0,0.0,Villarreal,12283060.0,1870.0,2.0,15.0,9.0,11.0,5.0,10,15.0,15.0,12.0,12,5.0,13.0,9.0,12.0,13,11,11,11,11,10,5,2,9,3,10,11,6,10,10,12,11,12,12,9,6,6,8,4,6,9708500.0,55.0,73.0
92071707,Alexander Nübel,25,GK,Right,193.0,88.0,,,AS Monaco,2760540.0,105780.0,3.0,14.0,15.0,15.0,12.0,11,11.0,14.0,15.0,12,10.0,16.0,17.0,14.0,13,13,13,15,12,12,12,2,11,1,10,15,9,12,13,15,12,15,14,11,10,13,8,3,11,,69.0,78.0
98040383,Gregor Kobel,24,GK,Right,195.0,88.0,3.0,0.0,Borussia Dortmund,67271380.0,38360.0,4.0,16.0,14.0,17.0,15.0,13,13.0,13.0,16.0,13,10.0,17.0,15.0,14.0,14,15,15,17,13,13,17,1,15,3,14,14,12,11,11,14,14,16,13,10,10,12,4,7,12,,75.0,78.0
8428461,Steve Mandanda,37,GK,Right,185.0,82.0,34.0,0.0,Rennes,,59840.0,2.0,14.0,13.0,15.0,6.0,9,15.0,12.0,14.0,9,10.0,14.0,14.0,13.0,6,14,14,15,12,13,14,8,15,1,13,13,8,8,10,13,13,14,12,10,10,14,6,6,10,,68.0,77.0
12029963,Yassine Bounou,31,GK,Left,191.0,80.0,43.0,0.0,Sevilla,,46490.0,2.0,14.0,15.0,14.0,4.0,7,16.0,15.0,16.0,7,11.0,15.0,9.0,15.0,7,13,14,14,16,14,12,6,11,3,15,15,8,13,10,13,9,15,11,13,11,14,9,3,5,54847660.0,76.0,77.0
14035968,Walter Benítez,29,GK,Right,191.0,91.0,,,PSV,17004350.0,25000.0,3.0,14.0,16.0,12.0,6.0,11,15.0,13.0,15.0,11,9.0,15.0,10.0,12.0,2,15,15,12,16,12,15,15,15,12,15,15,10,15,8,12,16,16,15,8,13,17,8,3,8,,72.0,77.0
28104130,Caoimhin Kelleher,23,GK,Right,188.0,75.0,8.0,0.0,Liverpool,39037090.0,34800.0,3.0,14.0,13.0,14.0,8.0,14,14.0,12.0,15.0,14,11.0,16.0,13.0,12.0,7,13,13,14,14,13,15,3,14,2,14,13,7,12,13,14,13,13,13,12,10,12,9,6,13,,71.0,77.0
52080573,Mark Travers,23,GK,Right,191.0,,3.0,0.0,Bournemouth,6352760.0,29000.0,5.0,14.0,11.0,10.0,7.0,9,14.0,14.0,12.0,10,7.0,15.0,8.0,14.0,8,14,12,10,12,11,12,6,8,2,14,11,11,12,11,13,10,13,14,11,15,11,6,3,10,,63.0,73.0
85003956,Anthony Lopes,31,GK,Left,184.0,81.0,14.0,0.0,Lyon,,72880.0,3.0,11.0,14.0,11.0,12.0,10,13.0,10.0,15.0,9,13.0,16.0,15.0,13.0,14,14,18,11,12,11,15,9,17,5,13,10,8,10,13,16,14,13,15,13,15,14,5,3,10,,70.0,77.0
85027976,Alphonse Areola,29,GK,Right,195.0,94.0,3.0,0.0,West Ham United,15805700.0,139200.0,5.0,14.0,12.0,15.0,8.0,10,14.0,13.0,14.0,10,12.0,15.0,12.0,13.0,8,14,13,15,14,12,14,8,10,8,13,15,9,13,12,13,17,15,15,12,15,14,6,3,10,,70.0,77.0
5127684,Ron-Robert Zieler,33,GK,Right,187.0,82.0,6.0,0.0,Hannover,815970.0,19180.0,1.0,11.0,12.0,14.0,10.0,9,13.0,12.0,15.0,10,12.0,16.0,15.0,12.0,13,13,12,14,12,12,11,6,15,3,16,11,9,9,10,13,13,15,17,10,11,12,7,3,10,,64.0,77.0
67183918,Álex Remiro,27,GK,Right,192.0,80.0,,,Real Sociedad,72235590.0,42340.0,5.0,14.0,15.0,12.0,8.0,11,15.0,15.0,13.0,17,11.0,16.0,14.0,13.0,7,12,12,12,12,13,12,5,12,1,13,13,12,13,13,14,12,15,13,13,11,12,8,2,16,70004990.0,75.0,77.0
69005372,Roman Bürki,31,GK,Right,187.0,85.0,9.0,0.0,St. Louis City,27206020.0,31660.0,3.5,16.0,9.0,16.0,16.0,9,13.0,15.0,17.0,13,9.0,17.0,17.0,16.0,16,12,16,16,10,9,12,1,12,2,10,15,11,12,12,14,16,13,16,11,12,15,8,5,12,,67.0,77.0
859596,Tim Krul,34,GK,Left,194.0,83.0,15.0,0.0,Norwich City,2943110.0,34800.0,2.0,14.0,14.0,12.0,8.0,8,14.0,11.0,16.0,9,10.0,15.0,15.0,12.0,11,11,14,14,12,12,14,2,14,2,15,10,5,12,10,13,13,17,13,7,14,10,4,4,8,,63.0,76.0
965309,Agustín Marchesín,34,GK,Right,188.0,83.0,8.0,0.0,Celta de Vigo,,20590.0,2.0,13.0,12.0,12.0,9.0,8,13.0,14.0,15.0,12,11.0,17.0,13.0,14.0,12,12,14,12,13,14,15,7,11,2,13,13,11,13,10,12,14,14,13,11,12,13,8,1,8,22623360.0,69.0,76.0
8167246,Simon Mignolet,34,GK,Right,193.0,88.0,35.0,0.0,Club Brugge,,85010.0,4.0,14.0,11.0,14.0,7.0,11,15.0,12.0,15.0,11,14.0,17.0,12.0,12.0,10,15,14,14,14,13,15,1,10,2,15,11,8,10,11,15,13,14,14,11,12,14,7,5,8,,70.0,76.0
16191675,Niklas Hedl,21,GK,Right,188.0,81.0,,,SK Rapid Vienna,15510130.0,1500.0,2.0,13.0,14.0,8.0,7.0,11,14.0,15.0,12.0,11,9.0,16.0,12.0,15.0,4,8,11,8,11,9,17,7,8,1,14,13,8,14,11,12,12,15,14,10,12,12,1,4,4,,60.0,78.0
18010782,Koen Casteels,30,GK,Left,197.0,86.0,4.0,0.0,VfL Wolfsburg,15217510.0,76720.0,2.0,17.0,15.0,13.0,12.0,11,13.0,12.0,14.0,11,8.0,16.0,16.0,13.0,14,13,13,14,13,13,15,6,15,3,14,12,11,12,11,15,12,18,14,11,12,12,6,4,11,,72.0,76.0
27137069,Oliver Christensen,23,GK,Right,190.0,82.0,1.0,0.0,Hertha BSC,2659720.0,6500.0,4.0,15.0,14.0,16.0,7.0,10,12.0,11.0,11.0,10,13.0,14.0,16.0,11.0,17,15,16,16,12,11,17,3,13,3,11,12,11,10,12,13,12,15,14,11,11,12,8,3,10,,63.0,71.0
28054565,Jordan Pickford,28,GK,Left,187.0,77.0,45.0,0.0,Everton,55841560.0,127600.0,2.0,14.0,15.0,10.0,12.0,11,14.0,16.0,17.0,12,11.0,16.0,15.0,12.0,16,14,16,10,14,13,14,1,14,3,14,10,15,11,8,16,12,14,15,8,13,14,9,2,14,,75.0,76.0
37050136,Justin Bijlow,24,GK,Right,188.0,84.0,6.0,0.0,Feyenoord,16086890.0,9590.0,3.0,14.0,14.0,14.0,8.0,12,14.0,15.0,15.0,14,9.0,14.0,12.0,12.0,10,13,11,12,14,14,15,7,13,1,15,14,12,14,11,14,13,14,10,11,12,11,7,3,11,,71.0,76.0
43155241,Guglielmo Vicario,25,GK,Right,194.0,83.0,,,Empoli,8189980.0,21350.0,2.0,14.0,13.0,13.0,4.0,5,14.0,13.0,13.0,8,11.0,16.0,12.0,12.0,10,14,14,13,15,12,15,9,12,8,13,12,11,11,11,14,13,16,14,13,15,15,2,3,8,,71.0,76.0
43378804,Stefano Turati,20,GK,Right,188.0,85.0,,,Frosinone,30525240.0,5340.0,3.0,12.0,14.0,11.0,8.0,7,14.0,9.0,16.0,6,10.0,15.0,11.0,13.0,10,11,11,11,13,13,15,4,13,8,15,13,8,14,12,12,11,13,12,13,12,12,5,5,8,,63.0,80.0
6300460,Willy Caballero,40,GK,Right,186.0,81.0,5.0,0.0,Southampton,269640.0,34800.0,1.0,10.0,15.0,13.0,8.0,12,15.0,12.0,13.0,12,14.0,15.0,16.0,12.0,8,13,12,13,13,14,15,12,14,8,14,14,12,13,6,12,13,13,12,6,10,12,7,4,7,,63.0,76.0
917333,Carlos Kameni,38,GK,Right,186.0,86.0,73.0,0.0,U.E. Santa Coloma,0.0,60.0,1.0,9.0,12.0,12.0,16.0,8,13.0,12.0,14.0,10,16.0,10.0,13.0,12.0,7,13,15,12,8,12,16,10,10,2,14,8,9,10,9,9,8,13,13,8,8,14,6,3,8,,50.0,75.0
